content_id,title,type,genre,language,release_year,duration_min,age_rating,country
1,Dark Horizon,Movie,Comedy,English,2019,116,U/A 7+,UK
2,The Last Signal,Movie,Comedy,Telugu,2016,160,U/A 16+,USA
3,Eternal Shadows,Movie,Action,Hindi,2018,114,A,Australia
4,Broken Orbit,Movie,Action,Telugu,2018,168,A,France
5,Crimson Tide Rising,Movie,Thriller,Tamil,2024,120,U,UK
6,The Silent Valley,Movie,Sci-Fi,Japanese,2019,104,U/A 7+,Spain
7,Beyond the Storm,Movie,Comedy,Hindi,2021,97,U/A 13+,Spain
8,Neon Requiem,Movie,Crime,Korean,2015,143,A,India
9,Edge of Forever,Movie,Sci-Fi,Hindi,2023,122,A,Spain
10,Lost in Transit,Movie,Crime,French,2016,90,U/A 7+,Japan
11,The Forgotten Isle,Movie,Comedy,French,2016,133,U/A 13+,Germany
12,Parallel Lives,Movie,Horror,Spanish,2020,130,U/A 7+,Japan
13,Ghost Protocol Zero,Movie,Comedy,Portuguese,2017,153,U/A 7+,UK
14,Midnight Surge,Movie,Documentary,German,2019,166,A,South Korea
15,Iron Reckoning,Movie,Horror,English,2018,89,U/A 13+,France
16,The Glass Labyrinth,Movie,Romance,Hindi,2018,157,U/A 13+,South Korea
17,Velocity,Movie,Documentary,German,2022,103,U/A 13+,UK
18,Shattered Minds,Movie,Thriller,Telugu,2023,118,A,France
19,Code Red,Movie,Crime,German,2020,113,U/A 7+,Brazil
20,Desert Storm,Movie,Documentary,Hindi,2015,99,U/A 7+,UK
21,The Ivory Tower,Movie,Sci-Fi,Portuguese,2016,134,U/A 16+,Australia
22,Phantom Circuit,Movie,Documentary,Telugu,2019,155,U,India
23,Zero Gravity,Movie,Animation,Korean,2020,99,U/A 13+,France
24,Blood Moon,Movie,Drama,Tamil,2015,118,A,UK
25,The Vanishing Act,Movie,Animation,Hindi,2019,166,A,Australia
26,Deep Current,Movie,Thriller,Spanish,2020,105,A,Brazil
27,Fractured,Movie,Action,Portuguese,2020,147,U,India
28,The Last Ember,Movie,Horror,Korean,2018,92,U/A 7+,Australia
29,Silver Lining,Movie,Comedy,Hindi,2022,93,A,UK
30,Hollow Earth,Movie,Drama,Tamil,2023,106,U/A 13+,Brazil
31,Quantum Files,Series,Crime,German,2018,59,U/A 7+,Japan
32,The Outer Edge,Series,Sci-Fi,Japanese,2022,58,U/A 16+,India
33,Crown of Thorns,Series,Thriller,French,2016,46,U,Australia
34,Dark Waters,Series,Animation,French,2024,39,U,India
35,Neon City Blues,Series,Action,French,2016,27,U/A 13+,India
36,The Syndicate,Series,Animation,French,2019,56,U/A 7+,Brazil
37,Family Ties,Series,Drama,Portuguese,2024,55,U/A 7+,Germany
38,Mind Benders,Series,Sci-Fi,French,2016,31,U/A 16+,Spain
39,The Agency,Series,Sci-Fi,German,2022,28,U,USA
40,Rise of Empires,Series,Sci-Fi,Japanese,2016,40,U/A 7+,South Korea
41,Wired,Series,Animation,Tamil,2017,52,U/A 7+,Japan
42,Cold Case Chronicles,Series,Documentary,French,2016,53,A,India
43,The Detectives,Series,Action,Telugu,2015,30,U/A 7+,UK
44,Urban Legends,Series,Sci-Fi,Tamil,2022,38,U/A 16+,USA
45,Starfall,Series,Drama,German,2015,49,U/A 13+,Germany
46,The Inner Circle,Series,Romance,German,2023,56,U/A 7+,South Korea
47,Rogue Protocol,Series,Romance,French,2015,59,U,Spain
48,Echoes,Series,Action,English,2024,55,A,Brazil
49,The Heist,Series,Drama,English,2023,30,U/A 7+,India
50,Midnight Protocol,Series,Crime,Hindi,2018,50,U,Australia
